id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,batting_first_team,chasing_team,batting_first_won,chasing_won,toss_winner_won
502,2014,Delhi,,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,,Punjab Kings,Delhi Capitals,1,0,1
503,2014,Hyderabad,,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,,Royal Challengers Bangalore,Sunrisers Hyderabad,0,1,0
504,2014,Kolkata,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,,Kolkata Knight Riders,Chennai Super Kings,1,0,1
505,2014,Mohali,,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,,Mumbai Indians,Punjab Kings,1,0,1
506,2014,Kolkata,,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,,Royal Challengers Bangalore,Kolkata Knight Riders,0,1,0
507,2014,Ranchi,,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,,Sunrisers Hyderabad,Chennai Super Kings,1,0,1
508,2014,Mumbai,,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,,Delhi Capitals,Mumbai Indians,0,1,0
509,2014,Mohali,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Punjab Kings,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,,Rajasthan Royals,Punjab Kings,0,1,0
510,2014,Bangalore,,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,,Chennai Super Kings,Royal Challengers Bangalore,1,0,1
511,2014,Kolkata,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,,Kolkata Knight Riders,Sunrisers Hyderabad,1,0,1
512,2014,Mohali,,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,,Punjab Kings,Delhi Capitals,1,0,1
513,2014,Mumbai,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,,Mumbai Indians,Rajasthan Royals,1,0,1
514,2014,Kolkata,,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,normal,0,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,,Punjab Kings,Kolkata Knight Riders,0,1,0
515,2014,Mumbai,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,,Chennai Super Kings,Mumbai Indians,1,0,1
516,2014,Mumbai,,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,0,Punjab Kings,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,,Chennai Super Kings,Punjab Kings,0,1,0
